batch,species,trt,J4+n,day,juveniles
1,fissidentatus,control,0,2,0
1,fissidentatus,control,0,2,0
1,fissidentatus,control,0,2,0
1,fissidentatus,control,0,2,0
1,fissidentatus,control,0,2,0
1,fissidentatus,control,0,2,0
1,fissidentatus,control,0,2,0
1,fissidentatus,control,0,2,0
1,fissidentatus,control,0,2,0
1,fissidentatus,control,0,2,0
1,fissidentatus,control,0,2,0
1,fissidentatus,control,0,2,0
1,fissidentatus,control,1,3,27
1,fissidentatus,control,1,3,24
1,fissidentatus,control,1,3,30
1,fissidentatus,control,1,3,33
1,fissidentatus,control,1,3,14
1,fissidentatus,control,1,3,27
1,fissidentatus,control,1,3,18
1,fissidentatus,control,1,3,17
1,fissidentatus,control,1,3,17
1,fissidentatus,control,1,3,30
1,fissidentatus,control,1,3,10
1,fissidentatus,control,1,3,23
1,fissidentatus,control,2,4,83
1,fissidentatus,control,2,4,70
1,fissidentatus,control,2,4,78
1,fissidentatus,control,2,4,86
1,fissidentatus,control,2,4,63
1,fissidentatus,control,2,4,87
1,fissidentatus,control,2,4,51
1,fissidentatus,control,2,4,70
1,fissidentatus,control,2,4,50
1,fissidentatus,control,2,4,61
1,fissidentatus,control,2,4,76
1,fissidentatus,control,2,4,73
1,fissidentatus,control,3,5,64
1,fissidentatus,control,3,5,53
1,fissidentatus,control,3,5,58
1,fissidentatus,control,3,5,34
1,fissidentatus,control,3,5,56
1,fissidentatus,control,3,5,45
1,fissidentatus,control,3,5,25
1,fissidentatus,control,3,5,52
1,fissidentatus,control,3,5,52
1,fissidentatus,control,3,5,67
1,fissidentatus,control,3,5,39
1,fissidentatus,control,3,5,24
1,fissidentatus,control,4,6,8
1,fissidentatus,control,4,6,0
1,fissidentatus,control,4,6,3
1,fissidentatus,control,4,6,0
1,fissidentatus,control,4,6,3
1,fissidentatus,control,4,6,0
1,fissidentatus,control,4,6,3
1,fissidentatus,control,4,6,2
1,fissidentatus,control,4,6,7
1,fissidentatus,control,4,6,1
1,fissidentatus,control,4,6,0
1,fissidentatus,control,4,6,0
1,fissidentatus,control,5,7,0
1,fissidentatus,control,5,7,0
1,fissidentatus,control,5,7,0
1,fissidentatus,control,5,7,0
1,fissidentatus,control,5,7,0
1,fissidentatus,control,5,7,0
1,fissidentatus,control,5,7,0
1,fissidentatus,control,5,7,0
1,fissidentatus,control,5,7,0
1,fissidentatus,control,5,7,0
1,fissidentatus,control,5,7,0
1,fissidentatus,control,5,7,0
1,fissidentatus,control,6,8,0
1,fissidentatus,control,6,8,0
1,fissidentatus,control,6,8,0
1,fissidentatus,control,6,8,0
1,fissidentatus,control,6,8,0
1,fissidentatus,control,6,8,0
1,fissidentatus,control,6,8,0
1,fissidentatus,control,6,8,0
1,fissidentatus,control,6,8,0
1,fissidentatus,control,6,8,0
1,fissidentatus,control,6,8,0
1,fissidentatus,control,6,8,0
1,fissidentatus,control,7,9,0
1,fissidentatus,control,7,9,0
1,fissidentatus,control,7,9,0
1,fissidentatus,control,7,9,0
1,fissidentatus,control,7,9,0
1,fissidentatus,control,7,9,0
1,fissidentatus,control,7,9,0
1,fissidentatus,control,7,9,0
1,fissidentatus,control,7,9,0
1,fissidentatus,control,7,9,0
1,fissidentatus,control,7,9,0
1,fissidentatus,control,7,9,0
2,fissidentatus,control,0,2,0
2,fissidentatus,control,0,2,0
2,fissidentatus,control,0,2,0
2,fissidentatus,control,0,2,0
2,fissidentatus,control,0,2,0
2,fissidentatus,control,0,2,0
2,fissidentatus,control,1,3,10
2,fissidentatus,control,1,3,3
2,fissidentatus,control,1,3,6
2,fissidentatus,control,1,3,2
2,fissidentatus,control,1,3,10
2,fissidentatus,control,1,3,
2,fissidentatus,control,2,4,51
2,fissidentatus,control,2,4,61
2,fissidentatus,control,2,4,57
2,fissidentatus,control,2,4,49
2,fissidentatus,control,2,4,48
2,fissidentatus,control,3,5,76
2,fissidentatus,control,3,5,62
2,fissidentatus,control,3,5,66
2,fissidentatus,control,3,5,76
2,fissidentatus,control,3,5,46
2,fissidentatus,control,4,6,0
2,fissidentatus,control,4,6,0
2,fissidentatus,control,4,6,2
2,fissidentatus,control,4,6,0
2,fissidentatus,control,4,6,0
3,fissidentatus,control,1,3,0
3,fissidentatus,control,1,3,0
3,fissidentatus,control,1,3,0
3,fissidentatus,control,1,3,0
3,fissidentatus,control,1,3,0
3,fissidentatus,control,1,3,0
3,fissidentatus,control,1,3,0
3,fissidentatus,control,2,4,1
3,fissidentatus,control,2,4,0
3,fissidentatus,control,2,4,0
3,fissidentatus,control,2,4,1
3,fissidentatus,control,2,4,0
