batch,date,age,bead_count,beadsmin
1,20/09/2023,ya,41,123
1,20/09/2023,ya,2,6
1,20/09/2023,ya,39,117
1,20/09/2023,ya,22,66
1,20/09/2023,ya,40,120
1,20/09/2023,ya,0,0
1,20/09/2023,ya,8,24
1,20/09/2023,ya,58,174
1,20/09/2023,ya,58,174
1,20/09/2023,ya,29,87
1,20/09/2023,old,31,93
1,20/09/2023,old,33,99
1,20/09/2023,old,51,153
1,20/09/2023,old,0,0
1,20/09/2023,old,47,141
1,20/09/2023,old,37,111
1,20/09/2023,old,43,129
1,20/09/2023,old,3,9
1,20/09/2023,old,30,90
1,20/09/2023,old,57,171
2.3,3/10/2023,ya,57,171
2.3,3/10/2023,ya,23,69
2.3,3/10/2023,ya,38,114
2.3,3/10/2023,old,1,3
2.3,14/10/2023,ya,25,75
2.3,14/10/2023,ya,56,168
2.3,14/10/2023,ya,60,180
2.3,14/10/2023,old,8,24
2.3,14/10/2023,old,11,33
2.3,14/10/2023,old,2,6
2.3,14/10/2023,old,8,24
2.3,14/10/2023,old,10,30
4,1/11/2023,ya,26,78
4,1/11/2023,ya,61,183
4,1/11/2023,ya,13,39
4,1/11/2023,ya,0,0
4,1/11/2023,ya,16,48
4,1/11/2023,ya,73,219
4,1/11/2023,ya,46,138
4,1/11/2023,ya,115,345
4,1/11/2023,old,47,141
4,1/11/2023,old,0,0
4,1/11/2023,old,8,24
4,1/11/2023,old,6,18
4,1/11/2023,old,10,30
4,1/11/2023,old,2,6
4,1/11/2023,old,3,9
4,1/11/2023,old,46,138
