id,batch,age,species,speedmean,speedmax,length,width,track,wave,amp,turns
pac1,1,ya,pacificus,112.7479778,885.808,931.96,73.76,3939.18,440.39,35.39,1
pac2,1,ya,pacificus,154.9812635,682.522,930.49,65.31,4440.77,516.31,69.89,24
pac3,1,ya,pacificus,160.664727,1109.522,873.41,83.9,5684.12,455.08,79.72,18
pac4,1,ya,pacificus,145.5929873,905.094,951.46,87.57,3640.19,555.27,94.64,18
pac5,1,ya,pacificus,181.1308873,650.475,878.29,85.5,5003.26,485.54,82.61,24
pac6,1,ya,pacificus,239.1325476,922.985,868.7,69.7,5406.52,490.52,70.9,36
pac7,1,ya,pacificus,187.4609381,997.423,1002.98,89.92,4503.29,571.62,100.06,5
pac8,1,ya,pacificus,148.4016317,763.196,894.07,88.09,3422.74,525.41,56.99,24
pac9,1,ya,pacificus,226.1713905,1207.661,NA,164.44,1338.74,694.53,92.72,1
pac10,1,ya,pacificus,189.0524587,949.628,896.74,80.33,5673.8,521.58,72.9,24
pac11,1,ya,pacificus,227.4400159,1065.3,896.53,92.23,3717.86,473.12,83.9,36
pac12,2,ya,pacificus,262.355827,1272.648,904.37,92.75,3671.16,601.35,71.69,18
pac13,2,ya,pacificus,91.55346349,646.773,945.13,98.69,4098.88,620.7,38.72,18
pac14,2,ya,pacificus,87.5983873,807.264,831.64,76.12,3080.01,479.63,37.07,12
pac15,2,ya,pacificus,65.99638571,335.183,845.32,81.89,2899.42,533.8,68.86,12
pac16,2,ya,pacificus,64.05796984,282.323,860.58,76.31,4067.68,412.94,146.82,1
pac17,2,ya,pacificus,91.72990635,859.517,809.71,100.66,2129.33,463.08,61.69,12
pac18,2,ya,pacificus,64.62806984,196.42,853.18,80.7,3900.78,529.34,39.27,36
pac19,2,ya,pacificus,104.3327603,570.432,761.52,84.46,0,227.1,103.27,0
pac20,2,ya,pacificus,103.2765079,1083.184,927.27,94.6,4261.88,526.62,65.19,30
pac21,2,ya,pacificus,117.5530698,830.193,889.4,75.74,4880.06,497.9,70.35,2
pac22,2,ya,pacificus,98.34940159,720.878,848.27,67.24,3897.67,463.05,62.3,1
pac23,2,ya,pacificus,97.7168254,1137.646,878.39,97.49,4327.94,531.43,29.28,4
pac24,2,ya,pacificus,138.4884095,824.019,830.68,96.55,3476.04,443.48,85.82,7
pac25,2,ya,pacificus,113.9626905,451.293,738.99,69.14,4470.42,413,68.7,5
pac26,3,ya,pacificus,87.28760476,481.439,775.43,75.13,3509.78,525.22,82.5,12
pac27,3,ya,pacificus,111.1032111,407.066,776.4,74.23,3854.3,475.51,60.92,30
pac28,3,ya,pacificus,101.4799952,348.615,785.06,69.51,4400.64,459.39,54.83,12
pac29,3,ya,pacificus,85.22779841,452.848,867.57,71.89,3794.49,492.33,60.9,6
pac30,3,ya,pacificus,113.5007778,505.577,817.41,74.05,4025.75,475.89,42.43,24
pac31,3,ya,pacificus,105.121319,721.512,839.04,78.67,3318.35,399.67,123.61,6
pac32,3,ya,pacificus,70.62492381,363.359,809.01,70.87,4425.12,488.03,21.28,30
pac33,3,ya,pacificus,96.79797302,382.376,719.54,70.74,3371.23,419.66,43.82,24
pac34,3,ya,pacificus,121.8064032,483.281,828.74,73.39,4066.94,500.44,58.02,24
pac35,3,ya,pacificus,204.8549444,989.993,802.82,65.49,3329.69,540.44,63.06,6
pac36,1,old,pacificus,99.6272254,513.089,NA,NA,NA,NA,NA,NA
pac37,1,old,pacificus,128.4332571,637.392,NA,NA,NA,NA,NA,NA
pac38,1,old,pacificus,177.2876159,1439.512,1105.79,113.62,5850.77,580.25,49.05,12
pac39,1,old,pacificus,140.1148619,560.423,1099.05,108.33,6577.74,546.35,79.85,24
pac40,1,old,pacificus,120.5598254,694.752,940.26,88.34,7920.38,581.62,30.46,13
pac41,1,old,pacificus,76.77189048,415.804,1060.66,100.2,5475.2,539.29,134.32,12
pac42,1,old,pacificus,116.1563794,1026.236,978.83,94.64,6342.36,530.93,61.26,24
pac43,1,old,pacificus,77.76572222,620.927,1044.86,116.41,3071.24,653.14,100.97,18
pac44,1,old,pacificus,94.41321429,564.334,874.02,108.53,5689.2,503.23,68.03,12
pac45,1,old,pacificus,150.5056159,1032.104,1015.83,99.05,5883.99,495.85,47.91,12
pac46,1,old,pacificus,70.6774,508.835,986.68,88.28,4897.06,451,85.97,3
pac47,1,old,pacificus,93.9582746,490.044,987.83,109.17,6414.85,524.6,125.29,2
pac48,1,old,pacificus,51.74825556,209.671,883.23,109.39,2877.87,590.99,73.99,2
pac49,1,old,pacificus,48.77473175,253.138,996.43,125.47,3597.37,640.58,84.79,3
pac50,2,old,pacificus,124.0199111,456.533,1080.15,109.89,2340.1,671.35,69.43,6
pac51,2,old,pacificus,75.95744603,412.629,924.9,89.09,2185.74,480.72,39.12,6
pac52,2,old,pacificus,143.0293762,454.393,934.47,100.91,5414.96,617.15,58.11,18
pac53,2,old,pacificus,119.5264619,440.542,963.27,91.12,3267.9,482.49,75.67,6
pac54,2,old,pacificus,76.98141429,427.91,945.49,107,4080.39,569.38,69.38,30
pac55,2,old,pacificus,80.5606619,544.59,931.19,122.11,2727.79,602.87,80.12,24
pac56,2,old,pacificus,134.4575508,542.697,1053.88,108.61,2575.68,543.95,92.81,12
pac57,2,old,pacificus,99.1302254,542.121,907.5,111.43,3099.33,530.42,68.78,24
pac58,2,old,pacificus,50.42557302,414.651,1019.4,110.86,3965.59,529.79,100.87,4
pac59,3,old,pacificus,78.4440746,395.41,994.75,100.72,4319.41,589.11,87.8,12
pac60,3,old,pacificus,41.80917302,340.615,1041.91,103.31,2814.94,564.67,83.32,12
pac61,3,old,pacificus,67.53155873,314.599,1071.13,96.06,3831.6,783.23,65.71,12
pac62,3,old,pacificus,86.2182873,395.552,926.92,103.99,1962.05,530.04,66.84,6
pac63,3,old,pacificus,45.07373333,245.809,874.45,93.28,3117.59,595.59,50.45,6
pac64,3,old,pacificus,38.26018889,311.123,939,83.07,3592.33,596.87,65.53,12
pac65,3,old,pacificus,84.32528571,398.786,978.53,94.55,3153.56,433.54,165.14,1
pac66,3,old,pacificus,83.11189206,354.17,975.86,93.7,2310.36,584.92,85.04,6
pac67,3,old,pacificus,106.9609619,447.274,976.07,91.54,3721.22,586.42,81.9,6
pac68,3,old,pacificus,82.98543175,515.975,1017.2,96.94,4366.25,559.02,77.54,2
pac69,3,old,pacificus,108.6497349,1252.938,1032.52,82.43,4824.11,660.6,55.98,2
pac70,3,old,pacificus,71.79513016,1155.615,1001.95,95.06,3243.53,581.21,74.28,3
fis1,1,ya,fissidentatus,140.293681,976.023,789.03,NA,2262.9,436.45,40.45,4
fis2,1,ya,fissidentatus,182.5413651,651.716,1287.38,104.41,4489.76,693.39,76.74,24
fis3,1,ya,fissidentatus,163.3776381,640.737,1095.24,95.78,8353.47,599.61,53.97,30
fis4,1,ya,fissidentatus,145.3524444,1297.539,1140.34,98.01,7287.95,718.83,67.39,12
fis5,1,ya,fissidentatus,93.33659841,416.66,1075.84,99.69,5623.64,667.27,60.5,24
fis6,1,ya,fissidentatus,114.8375302,811.845,1199.32,118.2,5059.09,732.62,30.26,12
fis7,1,ya,fissidentatus,66.60230952,360.232,1162.8,108.22,5965.31,648.19,47.12,18
fis8,1,ya,fissidentatus,129.6094524,735.299,1071.41,116.64,3520.05,634.35,74.82,6
fis9,1,ya,fissidentatus,78.93192222,1229.952,1068.88,95.14,6510.28,565.12,81.24,12
fis10,1,ya,fissidentatus,80.37131111,341.317,1050.13,118.23,4041.46,575.09,166.65,6
fis11,1,ya,fissidentatus,137.613181,672.891,1132.54,97.47,3862.72,682.28,58.53,12
fis12,1,ya,fissidentatus,79.50147302,596.11,1131.26,116.55,6282.63,652.53,48.18,18
fis13,1,ya,fissidentatus,99.1572746,401.668,1077.38,118.76,4292.01,595.59,22.78,30
fis14,1,ya,fissidentatus,164.2462349,682.571,1004.22,101.87,4635.12,460.82,94.96,2
fis15,1,ya,fissidentatus,132.8486746,794.801,1122.23,107.14,7319.92,641.57,102.5,4
fis16,1,ya,fissidentatus,142.0798159,663.414,1144.01,102.39,6408.46,668.01,74.22,3
fis17,1,ya,fissidentatus,138.3098651,506.902,1151.91,107.04,5441.52,603.49,98.71,1
fis18,2,ya,fissidentatus,92.44916825,412.704,882.94,91,3665.21,610.53,86.07,12
fis20,2,ya,fissidentatus,141.3160397,1391.303,861.01,50.95,4828.95,562.07,53.11,30
fis21,2,ya,fissidentatus,71.91801429,358.214,856.04,92.69,3895.83,542.52,71.37,12
