worm_id,species,age,length ,width
1,pacificus,ya,809,89
2,pacificus,ya,812,80
3,pacificus,ya,854,101
4,pacificus,ya,862,88
5,pacificus,ya,723,81
6,pacificus,ya,734,87
7,pacificus,ya,736,83
8,pacificus,old,883,92
9,pacificus,old,1035,117
10,pacificus,old,1036,144
11,pacificus,old,1048,125
12,pacificus,old,1003,129
13,pacificus,old,999,131
14,pacificus,old,954,137
15,pacificus,old,1015,138
16,pacificus,old,965,129
17,pacificus,old,1049,125
18,pacificus,old,973,113
19,pacificus,old,1063,135
20,pacificus,old,935,120
21,pacificus,old,1020,123
22,pacificus,old,1047,127
23,pacificus,old,1008,127
24,pacificus,old,1009,118
25,fissidentatus,ya,1169,139
26,fissidentatus,ya,856,99
27,fissidentatus,ya,814,102
28,fissidentatus,ya,852,97
29,fissidentatus,ya,849,108
30,fissidentatus,ya,868,106
31,fissidentatus,ya,806,106
32,fissidentatus,ya,1093,109
33,fissidentatus,ya,1063,128
34,fissidentatus,ya,996,135
35,fissidentatus,ya,938,141
36,fissidentatus,ya,1078,120
37,fissidentatus,ya,1020,133
39,fissidentatus,old,1106,170
40,fissidentatus,old,980,166
41,fissidentatus,old,1208,175
42,fissidentatus,old,968,147
43,fissidentatus,old,1020,161
44,fissidentatus,old,1050,155
45,fissidentatus,old,1021,160
46,fissidentatus,old,1145,164
47,fissidentatus,old,1013,162
48,fissidentatus,old,964,147
50,fissidentatus,old,1007,93
73,fissidentatus,old,1115,N/A
74,fissidentatus,old,1250,N/A
