Batch,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Worm,3,4,5,6,7,8,9,10,11,12,13,14,1,2,3,4,5,6,7,8,9,10,11,12,1,2,3,4,6,7,8,9,10,11,12,13,14,15,17,18,19,20,21,22,23,24,25,26,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,2,3,4,5,6,7,8,9,10,11,13,1,2,3,4,5,6,7,8,9,10,11
Age,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,YA,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old,Old
Mean Worm Length (um),1287.38,1095.24,1140.34,1075.84,1199.32,1162.8,1071.41,1068.88,1050.13,1132.54,1131.26,1077.38,1218.35,1143.19,1143.95,1159.21,1022.15,1138.21,1149.36,1222.42,1128.83,1088.67,1249.95,1046.37,946.17,930.99,882.94,896.75,861.01,856.04,832.42,824.56,797.02,951.69,889.55,911.51,899.56,852.28,855.83,856.19,906.07,920.14,881.85,921.26,790.87,801.44,893.6,922.06,1057.91,1242.55,1082.02,1234.76,1183.4,1094.52,1156.42,1183.33,1155.46,1135.55,1037.51,1162.26,1334.08,1077.73,1177.29,1303.48,1105.84,1249.54,1089.49,1134.46,1096.72,1018.34,1035.06,1168.73,1172.41,1109.07,1175.1,1123.94,1046.99,1057.08,1083.12,1185.15,1070.18,1017.77,1082.62,1216.5,1260.9,1161.86,1318.23,1109.6,1125.09,1070.98,1090.39,1155.51,1186.12,1198.77
Mean Width (um),104.41,95.78,98.01,99.69,118.2,108.22,116.64,95.14,118.23,97.47,116.55,118.76,122.7,103.9,104.13,113.95,116.87,148.15,127.85,123.53,119.7,127.38,134.01,133.26,90.92,103.23,91,97.98,50.95,92.69,69.38,61.18,59.98,98.71,92.21,92.24,74.36,85.19,82.31,113.49,101.65,69.97,86.42,96.29,102.14,68.71,96.13,93.19,137.34,152.17,156.37,153.52,141.3,165.47,139.74,145.31,146.66,152.03,162.47,148.97,178.6,116.21,159.22,171.76,137.36,161.55,143.32,148.08,172.08,144.17,147.51,156.46,121.65,114.54,120.32,113.74,117.72,126.68,127.66,123.77,115.71,117.11,117.61,158.9,151.78,150.83,157.43,149.52,161.74,154.25,156.14,155.14,155.35,159.09
Mean Area (um^2),136631.67,106600.08,113611.35,109049.51,144156.34,127934.06,127053.9,103292.07,126169.85,112210.69,134037.68,130083.03,152051.59,120741.56,121152.75,134353.64,121510.31,171451.09,149464.81,153493.62,137434.62,141044.69,170329.82,141654.62,87427.52,97707.04,81703.03,89332.7,44566.8,80720.89,58709.69,51249.23,48531.37,95544.62,83327.99,85479.67,67981.8,73814.06,71572.96,98643.34,93531.19,65489.72,77467.02,90239.2,82071.47,56013.75,87329.02,87332.97,147655.45,192319.5,172106.92,192776.99,170083.14,184198.83,164305.07,174873.17,172346.14,175530.11,171450.46,176102.36,242325.93,127377.6,190675.07,227724.13,154450.33,205303.27,158815.62,170846.73,191942.99,149297.85,155165.95,185978.67,145024.21,129132.64,143754.96,129993.65,125362.95,136194.65,140645.69,149065.13,125950.94,121225.2,129449.39,196622.29,194658.08,178200.21,211060.06,168730.85,185085.93,168042.49,173149.94,182329.52,187377.28,193915.74
Track Length (um) [center point trajectory],4489.76,8353.47,7287.95,5623.64,5059.09,5965.31,3520.05,6510.28,4041.46,3862.72,6282.63,4292.01,2588.51,5007.85,5779.66,3079.92,1989.12,3851.82,3485.08,3363.12,3187.74,2785.09,3626.21,3550.52,7297.56,4685.79,3665.21,4419.09,4828.95,3895.83,3915.72,5234.07,3504.99,3967.36,4133.78,3007.02,3421.23,4288.76,4297.95,5487.98,2862.31,4108.14,3739.44,3427.74,3449.53,4053.82,4453.73,4277.78,3142.86,1501.97,2027.31,2604.75,2102.85,2376.33,2685.8,2962.44,2823.59,2677.14,2248.5,2049.76,2616.1,2254.79,2183.25,2044.87,3170.64,3117.21,1886.21,3407.61,1996.25,4568.73,3083.39,2804.47,2971.01,3669.02,2554.33,3501.79,2830.55,2344.73,2616.55,3901.57,3078.82,2737.7,3763.72,2103.59,2329.41,2292.53,2067.27,3041.65,2199.12,3358.32,1995.98,2187.02,3015.93,2173.6
Center Point Speed (um/s) [Center point trajectory / time],448.53,834.51,728.07,561.8,505.4,595.94,351.65,650.38,403.74,385.89,627.64,428.77,256.25,495.76,572.17,304.9,196.92,381.32,345.01,332.94,315.57,275.71,358.98,351.49,728.65,467.87,365.97,441.24,482.16,388.99,390.98,522.61,349.97,396.13,412.75,300.25,341.6,428.23,429.14,547.96,285.8,410.19,373.38,342.25,344.43,404.77,444.7,427.13,313.07,149.62,201.95,259.47,209.47,236.71,267.54,295.1,281.27,266.68,223.98,204.18,260.6,224.61,217.48,203.69,315.84,310.51,187.89,339.44,198.85,455.1,307.14,279.36,296.78,366.51,255.16,349.8,282.75,234.22,261.37,389.73,307.55,273.47,375.97,194.9,215.82,212.4,191.53,281.81,203.75,311.15,184.93,202.63,279.43,201.38
Absolute peristaltic track length (um) [forward + reversal],4314.41,,,5272.87,4903.35,5859.76,3392.87,5776.6,3882.02,3587.93,6091.96,4061.9,2503.15,,,2791.52,1847.22,3643.35,3278.72,3284.89,3035.73,2574.26,3503.71,3376.6,,4465.56,3409.51,4262.04,4343.07,3684.92,3374.7,4730.92,2892.01,3728.17,3891.65,2648.41,3144.32,3765.71,3627.5,4884.89,2503.57,3712.68,3379.14,2921.7,3146.02,3385.77,4183.15,4009.6,2954.3,1272.85,1730.86,2327.57,1910.12,2142.41,2460.71,2770.41,2586.27,2400.38,2040.29,1678.76,2405.81,1997.57,1981.67,1865.88,2857.43,2941.73,1644.05,3228.8,1762.06,4354.83,2773.67,2449.39,2771.97,3512.29,2333.97,3357.53,2664.59,2164.17,2415.81,3742.11,2921.75,2563.34,3580.07,1928.31,2134.64,2090.02,1922.46,2790.91,1902.83,3208.17,1794.17,1978.55,2727.55,2046.41
Peristaltic speed (um/s) [APTL / time],431.01,,,526.76,489.85,585.39,338.95,577.08,387.81,358.43,,405.78,247.8,,,276.35,182.87,360.68,324.58,325.19,300.53,254.84,346.85,334.27,,445.88,340.43,425.56,433.65,367.93,336.96,472.37,288.76,372.25,388.57,264.44,313.96,376,362.2,487.75,249.98,370.7,337.4,291.73,314.12,338.06,417.68,400.35,294.29,126.79,172.42,231.86,190.27,213.41,245.12,275.97,257.62,239.11,203.24,167.23,239.65,198.98,197.4,185.86,284.64,293.03,163.77,321.63,175.52,,276.29,243.99,276.9,350.85,233.14,335.39,266.17,216.18,241.32,373.81,291.86,256.06,357.62,178.66,197.78,193.64,178.12,258.58,176.3,297.24,166.23,183.31,252.71,189.6
