species,J4+n,time,bag,censor
pacificus,4,6,1,0
pacificus,5,7,1,0
pacificus,5,7,1,0
pacificus,6,8,1,0
pacificus,6,8,0,1
pacificus,6,8,0,1
pacificus,7,9,1,0
pacificus,8,10,0,1
pacificus,9,11,0,1
pacificus,10,12,0,1
pacificus,10,12,0,1
pacificus,10,12,0,1
pacificus,11,13,0,1
pacificus,11,13,0,1
pacificus,11,13,0,1
pacificus,11,13,0,1
pacificus,12,14,0,1
pacificus,12,14,0,1
pacificus,12,14,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,14,16,0,1
pacificus,14,16,0,1
pacificus,14,16,0,1
pacificus,15,17,0,1
pacificus,15,17,0,1
pacificus,16,18,0,1
pacificus,16,18,0,1
pacificus,16,18,0,1
pacificus,17,19,0,1
pacificus,17,19,0,1
pacificus,17,19,0,1
pacificus,17,19,0,1
pacificus,17,19,0,1
pacificus,18,20,0,1
pacificus,18,20,0,1
pacificus,18,20,0,1
pacificus,18,20,0,1
pacificus,19,21,0,1
pacificus,19,21,0,1
pacificus,19,21,0,1
pacificus,20,22,0,1
pacificus,20,22,0,1
pacificus,20,22,0,1
pacificus,21,23,0,1
pacificus,21,23,0,1
pacificus,21,23,0,1
pacificus,21,23,0,1
pacificus,22,24,0,1
pacificus,22,24,0,1
pacificus,23,25,0,1
pacificus,23,25,0,1
pacificus,24,26,0,1
pacificus,24,26,0,1
pacificus,24,26,0,1
pacificus,24,26,0,1
pacificus,24,26,0,1
pacificus,24,26,0,1
pacificus,25,27,0,1
pacificus,25,27,0,1
pacificus,25,27,0,1
pacificus,25,27,0,1
pacificus,25,27,0,1
pacificus,26,28,0,1
pacificus,26,28,0,1
pacificus,27,29,0,1
pacificus,27,29,0,1
pacificus,27,29,0,1
pacificus,27,29,0,1
pacificus,28,30,0,1
pacificus,28,30,0,1
pacificus,28,30,0,1
pacificus,29,31,0,1
pacificus,30,32,0,1
pacificus,30,32,0,1
pacificus,31,33,0,1
pacificus,32,34,0,1
pacificus,34,36,0,1
pacificus,6,8,0,1
pacificus,8,10,0,1
pacificus,8,10,0,1
pacificus,9,11,0,1
pacificus,9,11,0,1
pacificus,9,11,0,1
pacificus,9,11,0,1
pacificus,10,12,0,1
pacificus,10,12,0,1
pacificus,10,12,0,1
pacificus,10,12,0,1
pacificus,11,13,0,1
pacificus,11,13,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,14,16,0,1
pacificus,14,16,0,1
pacificus,14,16,0,1
pacificus,14,16,0,1
pacificus,15,17,0,1
pacificus,15,17,0,1
pacificus,15,17,0,1
pacificus,15,17,0,1
pacificus,15,17,0,1
pacificus,16,18,0,1
pacificus,16,18,0,1
pacificus,16,18,0,1
pacificus,16,18,0,1
pacificus,17,19,0,1
pacificus,17,19,0,1
pacificus,17,19,0,1
pacificus,18,20,0,1
pacificus,20,22,0,1
pacificus,20,22,0,1
pacificus,20,22,0,1
pacificus,20,22,0,1
pacificus,20,22,0,1
pacificus,21,23,0,1
pacificus,22,24,0,1
pacificus,22,24,0,1
pacificus,24,26,0,1
pacificus,24,26,0,1
pacificus,24,26,0,1
pacificus,24,26,0,1
pacificus,27,29,0,1
pacificus,27,29,0,1
pacificus,27,29,0,1
pacificus,28,30,0,1
pacificus,30,32,0,1
pacificus,35,37,0,1
pacificus,7,9,0,1
pacificus,17,19,0,1
pacificus,16,18,0,1
pacificus,18,20,0,1
pacificus,12,14,0,1
pacificus,16,18,0,1
pacificus,17,19,0,1
pacificus,21,23,0,1
pacificus,21,23,0,1
pacificus,21,23,0,1
pacificus,24,26,0,1
pacificus,25,27,0,1
pacificus,25,27,0,1
pacificus,25,27,0,1
pacificus,26,28,0,1
pacificus,26,28,0,1
pacificus,26,28,0,1
pacificus,27,29,0,1
pacificus,29,31,0,1
pacificus,29,31,0,1
pacificus,29,31,0,1
pacificus,29,31,0,1
pacificus,30,32,0,1
pacificus,30,32,0,1
pacificus,30,32,0,1
pacificus,31,33,0,1
pacificus,31,33,0,1
pacificus,31,33,0,1
pacificus,31,33,0,1
pacificus,32,34,0,1
pacificus,33,35,0,1
pacificus,33,35,0,1
pacificus,33,35,0,1
pacificus,33,35,0,1
pacificus,34,36,0,1
pacificus,34,36,0,1
pacificus,35,37,0,1
pacificus,36,38,0,1
pacificus,39,41,0,1
pacificus,40,42,0,1
pacificus,3,5,0,1
pacificus,4,6,0,1
pacificus,6,8,0,1
pacificus,7,9,0,1
pacificus,8,10,0,1
pacificus,9,11,0,1
pacificus,10,12,1,0
pacificus,10,12,0,1
pacificus,11,13,0,1
pacificus,11,13,0,1
pacificus,11,13,0,1
pacificus,11,13,0,1
pacificus,11,13,0,1
pacificus,11,13,0,1
pacificus,11,13,0,1
pacificus,11,13,0,1
pacificus,12,14,1,0
pacificus,12,14,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,14,16,0,1
pacificus,15,17,0,1
pacificus,16,18,1,0
pacificus,16,18,0,1
pacificus,16,18,0,1
pacificus,16,18,0,1
pacificus,17,19,0,1
pacificus,19,21,0,1
pacificus,19,21,0,1
pacificus,19,21,0,1
pacificus,19,21,0,1
pacificus,20,22,0,1
pacificus,21,23,0,1
pacificus,21,23,0,1
pacificus,22,24,0,1
pacificus,23,25,0,1
pacificus,23,25,0,1
pacificus,25,27,0,1
pacificus,26,28,0,1
pacificus,29,31,0,1
pacificus,3,5,0,1
pacificus,3,5,0,1
pacificus,5,7,1,0
pacificus,5,7,1,0
pacificus,5,7,0,1
pacificus,5,7,0,1
pacificus,5,7,0,1
pacificus,6,8,1,0
pacificus,6,8,1,0
pacificus,6,8,0,1
pacificus,6,8,0,1
pacificus,7,9,0,1
pacificus,9,11,0,1
pacificus,9,11,0,1
pacificus,9,11,0,1
pacificus,9,11,0,1
pacificus,9,11,0,1
pacificus,11,13,0,1
pacificus,11,13,0,1
pacificus,13,15,0,1
pacificus,13,15,0,1
