species,J4+n,time,death,censor
pacificus,6,8,1,0
pacificus,8,10,1,0
pacificus,8,10,1,0
pacificus,9,11,1,0
pacificus,9,11,1,0
pacificus,9,11,1,0
pacificus,9,11,1,0
pacificus,10,12,1,0
pacificus,10,12,1,0
pacificus,10,12,1,0
pacificus,10,12,1,0
pacificus,11,13,1,0
pacificus,11,13,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,14,16,1,0
pacificus,14,16,1,0
pacificus,14,16,1,0
pacificus,14,16,1,0
pacificus,15,17,1,0
pacificus,15,17,1,0
pacificus,15,17,1,0
pacificus,15,17,1,0
pacificus,15,17,1,0
pacificus,16,18,1,0
pacificus,16,18,1,0
pacificus,16,18,1,0
pacificus,16,18,1,0
pacificus,17,19,1,0
pacificus,17,19,1,0
pacificus,17,19,1,0
pacificus,18,20,1,0
pacificus,20,22,1,0
pacificus,20,22,1,0
pacificus,20,22,1,0
pacificus,20,22,1,0
pacificus,20,22,1,0
pacificus,21,23,1,0
pacificus,22,24,1,0
pacificus,22,24,1,0
pacificus,24,26,1,0
pacificus,24,26,1,0
pacificus,24,26,1,0
pacificus,24,26,1,0
pacificus,27,29,1,0
pacificus,27,29,1,0
pacificus,27,29,1,0
pacificus,28,30,1,0
pacificus,30,32,1,0
pacificus,35,37,1,0
pacificus,4,6,0,1
pacificus,5,7,0,1
pacificus,5,7,0,1
pacificus,6,8,0,1
pacificus,6,8,0,1
pacificus,6,8,0,1
pacificus,7,9,0,1
pacificus,8,10,1,0
pacificus,9,11,0,1
pacificus,10,12,1,0
pacificus,10,12,1,0
pacificus,10,12,0,1
pacificus,11,13,1,0
pacificus,11,13,1,0
pacificus,11,13,1,0
pacificus,11,13,1,0
pacificus,12,14,1,0
pacificus,12,14,1,0
pacificus,12,14,1,0
pacificus,13,15,0,1
pacificus,13,15,0,1
pacificus,13,15,1,0
pacificus,14,16,1,0
pacificus,14,16,1,0
pacificus,14,16,1,0
pacificus,15,17,1,0
pacificus,15,17,1,0
pacificus,16,18,1,0
pacificus,16,18,1,0
pacificus,16,18,1,0
pacificus,17,19,1,0
pacificus,17,19,1,0
pacificus,17,19,1,0
pacificus,17,19,1,0
pacificus,17,19,1,0
pacificus,18,20,1,0
pacificus,18,20,1,0
pacificus,18,20,1,0
pacificus,18,20,1,0
pacificus,19,21,1,0
pacificus,19,21,1,0
pacificus,19,21,1,0
pacificus,20,22,1,0
pacificus,20,22,1,0
pacificus,20,22,1,0
pacificus,21,23,1,0
pacificus,21,23,1,0
pacificus,21,23,1,0
pacificus,21,23,1,0
pacificus,22,24,1,0
pacificus,22,24,1,0
pacificus,23,25,1,0
pacificus,23,25,1,0
pacificus,24,26,1,0
pacificus,24,26,1,0
pacificus,24,26,1,0
pacificus,24,26,1,0
pacificus,24,26,1,0
pacificus,24,26,1,0
pacificus,25,27,1,0
pacificus,25,27,1,0
pacificus,25,27,1,0
pacificus,25,27,1,0
pacificus,25,27,1,0
pacificus,26,28,1,0
pacificus,26,28,1,0
pacificus,27,29,1,0
pacificus,27,29,1,0
pacificus,27,29,1,0
pacificus,27,29,1,0
pacificus,28,30,1,0
pacificus,28,30,1,0
pacificus,28,30,1,0
pacificus,29,31,1,0
pacificus,30,32,1,0
pacificus,30,32,1,0
pacificus,31,33,1,0
pacificus,32,34,1,0
pacificus,34,36,1,0
pacificus,7,9,0,1
pacificus,17,19,1,0
pacificus,16,18,1,0
pacificus,18,20,0,1
pacificus,12,14,0,1
pacificus,16,18,1,0
pacificus,17,19,1,0
pacificus,21,23,1,0
pacificus,21,23,1,0
pacificus,21,23,0,1
pacificus,24,26,1,0
pacificus,25,27,1,0
pacificus,25,27,1,0
pacificus,25,27,1,0
pacificus,26,28,1,0
pacificus,26,28,1,0
pacificus,26,28,1,0
pacificus,27,29,1,0
pacificus,29,31,1,0
pacificus,29,31,1,0
pacificus,29,31,1,0
pacificus,29,31,1,0
pacificus,30,32,1,0
pacificus,30,32,1,0
pacificus,30,32,1,0
pacificus,31,33,1,0
pacificus,31,33,1,0
pacificus,31,33,1,0
pacificus,31,33,1,0
pacificus,32,34,1,0
pacificus,33,35,1,0
pacificus,33,35,1,0
pacificus,33,35,1,0
pacificus,33,35,1,0
pacificus,34,36,1,0
pacificus,34,36,1,0
pacificus,35,37,1,0
pacificus,36,38,1,0
pacificus,39,41,1,0
pacificus,40,42,0,1
pacificus,3,5,0,1
pacificus,4,6,1,0
pacificus,6,8,1,0
pacificus,7,9,1,0
pacificus,8,10,1,0
pacificus,9,11,1,0
pacificus,10,12,0,1
pacificus,10,12,0,1
pacificus,11,13,1,0
pacificus,11,13,1,0
pacificus,11,13,1,0
pacificus,11,13,1,0
pacificus,11,13,1,0
pacificus,11,13,1,0
pacificus,11,13,1,0
pacificus,11,13,1,0
pacificus,12,14,1,0
pacificus,12,14,0,1
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,14,16,1,0
pacificus,15,17,1,0
pacificus,16,18,1,0
pacificus,16,18,1,0
pacificus,16,18,0,1
pacificus,16,18,1,0
pacificus,17,19,1,0
pacificus,19,21,1,0
pacificus,19,21,1,0
pacificus,19,21,1,0
pacificus,19,21,1,0
pacificus,20,22,1,0
pacificus,21,23,1,0
pacificus,21,23,1,0
pacificus,22,24,1,0
pacificus,23,25,1,0
pacificus,23,25,1,0
pacificus,25,27,1,0
pacificus,26,28,1,0
pacificus,29,31,1,0
pacificus,3,5,0,1
pacificus,3,5,1,0
pacificus,5,7,1,0
pacificus,5,7,0,1
pacificus,5,7,0,1
pacificus,5,7,0,1
pacificus,5,7,0,1
pacificus,6,8,1,0
pacificus,6,8,0,1
pacificus,6,8,0,1
pacificus,6,8,0,1
pacificus,7,9,1,0
pacificus,9,11,1,0
pacificus,9,11,1,0
pacificus,9,11,1,0
pacificus,9,11,1,0
pacificus,9,11,0,1
pacificus,11,13,1,0
pacificus,11,13,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,16,18,1,0
pacificus,16,18,1,0
pacificus,16,18,1,0
pacificus,16,18,1,0
pacificus,16,18,1,0
pacificus,16,18,1,0
pacificus,19,21,1,0
pacificus,20,22,1,0
pacificus,20,22,1,0
pacificus,24,26,1,0
pacificus,26,28,1,0
pacificus,26,28,1,0
pacificus,28,30,0,0
pacificus,28,30,0,0
pacificus,28,30,0,0
pacificus,28,30,0,0
pacificus,28,30,0,0
pacificus,28,30,0,0
pacificus,28,30,0,0
pacificus,8,10,1,0
pacificus,11,13,1,0
pacificus,19,21,1,0
pacificus,21,23,1,0
pacificus,21,23,1,0
pacificus,22,24,1,0
pacificus,23,25,1,0
pacificus,24,26,1,0
pacificus,24,26,1,0
pacificus,26,28,1,0
pacificus,6,8,0,1
pacificus,8,10,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,14,16,1,0
pacificus,14,16,1,0
pacificus,18,20,1,0
pacificus,24,26,1,0
pacificus,24,26,1,0
pacificus,25,27,1,0
pacificus,11,13,1,0
pacificus,14,16,0,1
pacificus,19,21,0,1
pacificus,19,21,0,1
pacificus,20,22,0,1
pacificus,20,22,0,1
pacificus,21,23,0,1
pacificus,26,28,0,0
pacificus,26,28,0,0
pacificus,26,28,0,0
pacificus,10,12,1,0
pacificus,12,14,1,0
pacificus,12,14,1,0
pacificus,13,15,1,0
pacificus,13,15,1,0
pacificus,14,16,1,0
