Batch,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,2,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3,3
Worm,2,3,4,5,6,8,10,11,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,9,1,2,3,4,5,6,7,8,1,2,3,4,5,6,7,8,9,1,2,3,4,5,6,7,8,9
Age,YA,YA,YA,YA,YA,YA,YA,YA,old,old,old,old,old,old,old,old,YA,YA,YA,YA,YA,YA,YA,YA,old,old,old,old,old,old,old,old,YA,YA,YA,YA,YA,YA,YA,YA,YA,old,old,old,old,old,old,old,old,old
Mean Worm Length (um),930.49,873.41,951.46,878.29,868.7,894.07,896.74,896.53,1105.79,1099.05,940.26,1060.66,978.83,1044.86,874.02,1015.83,904.37,945.13,831.64,845.32,860.58,809.71,853.18,927.27,1080.15,924.9,934.47,963.27,945.49,931.19,1053.88,907.5,775.43,776.4,785.06,867.57,817.41,839.04,809.01,719.54,828.74,994.75,1041.91,1071.13,926.92,874.45,939,978.53,975.86,976.07
Mean Width (um),65.31,83.9,87.57,85.5,69.7,88.09,80.33,92.23,113.62,108.33,88.34,100.2,94.64,116.41,108.53,99.05,92.75,98.69,76.12,81.89,76.31,100.66,80.7,94.6,109.89,89.09,100.91,91.12,107,122.11,108.61,111.43,75.13,74.23,69.51,71.89,74.05,78.67,70.87,70.74,73.39,100.72,103.31,96.06,103.99,93.28,83.07,94.55,93.7,91.54
Mean Area (um^2),61737.5,74405.72,84685.87,76328.04,61486.86,80033.63,72943.45,84047.96,127725.33,121067.04,84270.47,108005.36,94025.28,123639.78,95743.79,102233.02,85215.4,94857.92,64369.42,70409.71,66760.04,82927.57,69941.72,89106.35,120729.81,83762.92,95838.91,89141,102843.37,115588,116390.95,102812.12,59210.09,58558.19,55462.42,63433.69,61492.53,67059.63,58283.91,51725.47,61837.63,101828.02,109511.94,104642.42,98035.9,82885.75,79314.21,94108.79,92994.67,90811.5
Track Length (um) [center point trajectory],4440.77,5684.12,3640.19,5003.26,5406.52,3422.74,5673.8,3717.86,5850.77,6577.74,7920.38,5475.2,6342.36,3071.24,5689.2,5883.99,3671.16,4098.88,3080.01,2899.42,4067.68,2129.33,3900.78,4261.88,2340.1,2185.74,5414.96,3267.9,4080.39,2727.79,2575.68,3099.33,3509.78,3854.3,4400.64,3794.49,4025.75,3318.35,4425.12,3371.23,4066.94,4319.41,2814.94,3831.6,1962.05,3117.59,3592.33,3153.56,2310.36,3721.22
Center Point Speed (um/s) [Center point trajectory / time],441.21,564.74,361.67,497.09,537.16,340.06,563.72,369.39,535.1,601.59,724.38,500.75,580.06,280.89,520.32,538.14,367.65,410.49,308.45,290.37,407.36,213.24,390.65,426.81,232.15,216.83,537.19,324.19,404.79,270.61,255.52,307.47,352.77,387.4,442.32,381.39,404.63,333.53,444.78,338.85,408.77,432.17,281.65,383.37,196.31,311.93,359.43,315.53,231.16,372.32
Absolute peristaltic track length (um) [forward + reversal],3985.51,5199.76,3450.91,4720.28,5016.22,3229.98,5258.46,3484.58,5697.2,6479.07,7298.76,5282.31,6040.95,2917.6,5445.36,5698.07,3451.62,3930.66,2877.64,2617.51,3731.35,1849.29,3715.89,4065.42,2186.79,1703.01,5222.64,2615.12,3838.17,2492.25,2360.67,2870.66,3329.48,3713.55,4113.5,3627.06,3866.18,3122.47,4263.63,3161.33,3954.42,4189.28,2210.73,3703.78,1705.12,2906.94,3416.35,3032.79,2179.68,3531.94
Peristaltic speed (um/s) [APTL / time],395.98,516.62,342.86,468.98,498.38,320.91,522.45,346.21,521.05,592.56,667.53,483.11,552.49,266.84,498.02,521.13,345.67,393.64,288.19,262.13,373.68,185.2,372.13,407.14,216.94,168.95,518.11,259.43,380.76,247.24,234.19,284.78,334.65,373.25,413.45,364.56,388.6,313.84,428.54,317.75,397.46,419.15,221.19,370.58,170.6,290.85,341.82,303.44,218.09,353.38
